client_id	path	sentence	up_votes	down_votes	age	gender	accents	variant	locale	segment
bca37f8b8d8c30731eb87271a472a9295ec92a8363334e0276c9ea9c6fe492dc5a01aa88529904de0b4e5a73b4884299727f76c5e3ef3a176e103e0231d5e0df	common_voice_cs_38533353.mp3	osm	0	2	thirties	male			cs	Benchmark
c63f5b80673527af99967af18e42acdb12315a2b7ed29a2744d8dad3d5036f19965e872a4c891f7183aa1856100520fb31cf5dc7fca69e156f5fa2e5b93577ec	common_voice_cs_38539680.mp3	ano	0	2					cs	Benchmark
5ed5b6f670d8bd302abdbb99e677cfed40d5bea3eed5b4dadf136d30b48c88b1e7b7a842f478af34b5e35cff2e8c908883448a88382918e65b0495762fd44864	common_voice_cs_38685004.mp3	čtyři	1	2	thirties	female			cs	Benchmark
5ed5b6f670d8bd302abdbb99e677cfed40d5bea3eed5b4dadf136d30b48c88b1e7b7a842f478af34b5e35cff2e8c908883448a88382918e65b0495762fd44864	common_voice_cs_38685006.mp3	jedna	0	2	thirties	female			cs	Benchmark
c227282ca2dae5be4b208420d4c326457900d964da346ebeadd634861607ce0bc6e06efb305733663ee094f911c890073d04d92e80f4dc793e4ae20d974c783a	common_voice_cs_38736516.mp3	čtyři	0	2					cs	Benchmark
0d9ff11044e89f0d54d5e02552f4925186e84c6794f9392b438315c44da97c293223d6d93d1eb80d2eff01c1cacf5002520aaa8e18bd5a8ee8911f12f0d6ed69	common_voice_cs_38748480.mp3	nula	0	2	twenties	male			cs	Benchmark
0d9ff11044e89f0d54d5e02552f4925186e84c6794f9392b438315c44da97c293223d6d93d1eb80d2eff01c1cacf5002520aaa8e18bd5a8ee8911f12f0d6ed69	common_voice_cs_38748491.mp3	tři	1	2	twenties	male			cs	Benchmark
df4f79b45ea4a3f8d6e7ba4a4272f7f9cbd72c3f5dd8cd5e7a841653d38783bd2e9c2386048bc45960a3081e5d8a4ee81cdf7b844ba9f6cc2edd763a56e737c5	common_voice_cs_38763599.mp3	osm	0	2					cs	Benchmark
df4f79b45ea4a3f8d6e7ba4a4272f7f9cbd72c3f5dd8cd5e7a841653d38783bd2e9c2386048bc45960a3081e5d8a4ee81cdf7b844ba9f6cc2edd763a56e737c5	common_voice_cs_38763601.mp3	tři	1	2					cs	Benchmark
df4f79b45ea4a3f8d6e7ba4a4272f7f9cbd72c3f5dd8cd5e7a841653d38783bd2e9c2386048bc45960a3081e5d8a4ee81cdf7b844ba9f6cc2edd763a56e737c5	common_voice_cs_38763602.mp3	ne	1	2					cs	Benchmark
df4f79b45ea4a3f8d6e7ba4a4272f7f9cbd72c3f5dd8cd5e7a841653d38783bd2e9c2386048bc45960a3081e5d8a4ee81cdf7b844ba9f6cc2edd763a56e737c5	common_voice_cs_38763603.mp3	devět	1	2					cs	Benchmark
a86f5e91c9dc79f2f9f5878b6e42d6ccd64ab1e9c6fb9c2c2c0bdf980ad0ab9650e99dafa51dc8b2bae440832b0e00a52d2cc54738348bbff92b45ec21986a3d	common_voice_cs_39580441.mp3	tři	0	2					cs	Benchmark
a86f5e91c9dc79f2f9f5878b6e42d6ccd64ab1e9c6fb9c2c2c0bdf980ad0ab9650e99dafa51dc8b2bae440832b0e00a52d2cc54738348bbff92b45ec21986a3d	common_voice_cs_39583814.mp3	čtyři	1	2					cs	Benchmark
